<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026-03-11	06:30:00	5207.37	5208.42	5204.13	5206.66	1789	0	4
2026-03-11	06:45:00	5206.67	5206.67	5201.89	5204.49	2582	0	4
2026-03-11	07:00:00	5204.51	5208.28	5203.55	5204.4	2876	0	4
2026-03-11	07:15:00	5204.4	5206.32	5200.28	5200.46	2876	0	4
2026-03-11	07:30:00	5200.46	5204.77	5190.63	5201.02	6252	0	4
2026-03-11	07:45:00	5201.02	5201.78	5195.6	5199.72	4148	0	4
2026-03-11	08:00:00	5199.72	5210.35	5196.36	5209.43	4922	0	4
2026-03-11	08:15:00	5209.43	5210.82	5203.16	5206.57	4174	0	4
2026-03-11	08:30:00	5206.58	5206.75	5191.59	5194.85	3900	0	4
2026-03-11	08:45:00	5194.85	5199.21	5192.33	5197.59	4729	0	4
2026-03-11	09:00:00	5197.59	5202.17	5195.54	5198.98	4347	0	4
2026-03-11	09:15:00	5198.98	5200.02	5195.61	5197.97	3960	0	4
2026-03-11	09:30:00	5197.97	5198.48	5184.58	5191.54	5371	0	4
2026-03-11	09:45:00	5191.54	5197.89	5189.92	5195.76	4239	0	4
2026-03-11	10:00:00	5195.76	5198.66	5188.09	5198.47	4958	0	4
2026-03-11	10:15:00	5198.47	5198.52	5181.12	5184.89	4205	0	4
2026-03-11	10:30:00	5184.89	5187.54	5175.44	5181.61	4920	0	4
2026-03-11	10:45:00	5181.61	5188.76	5179.47	5187.63	4105	0	4
2026-03-11	11:00:00	5187.63	5188.28	5179.62	5184.05	4532	0	4
2026-03-11	11:15:00	5184.05	5190.56	5183.55	5187.61	4244	0	4
2026-03-11	11:30:00	5187.61	5197.26	5187.22	5191.65	3949	0	4
2026-03-11	11:45:00	5191.65	5194.53	5186.67	5187.78	4153	0	4
2026-03-11	12:00:00	5187.79	5195.36	5186.48	5193.46	3560	0	4
2026-03-11	12:15:00	5193.48	5195.25	5189.4	5191.85	3344	0	4
2026-03-11	12:30:00	5191.83	5191.99	5177.21	5179.22	4598	0	4
2026-03-11	12:45:00	5179.38	5191.09	5177.56	5186.04	4561	0	4
2026-03-11	13:00:00	5186.04	5193.63	5184.39	5187.61	3665	0	4
2026-03-11	13:15:00	5187.61	5189.99	5179.61	5181.1	4255	0	4
